,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
45000,Psychic,None,106,110,90,154,90,130,1,1,Water,None,65,45,55,45,70,45,1,0,0
45001,Normal,None,80,80,80,55,55,90,3,0,Normal,None,38,36,38,32,36,57,6,0,0
45002,Poison,Dragon,65,75,90,97,123,44,6,0,Poison,None,35,60,44,40,54,55,1,0,1
45003,Fire,None,50,85,55,65,65,90,1,0,Water,Fairy,100,50,80,60,80,50,2,0,0
45004,Grass,None,65,55,115,100,40,60,1,0,Normal,None,75,100,95,40,70,110,1,0,1
45005,Normal,None,30,56,35,25,35,72,1,0,Ghost,None,45,100,135,65,135,45,4,0,1
45006,Psychic,None,100,100,100,100,100,100,1,0,Normal,None,110,160,110,80,110,100,4,1,1
45007,Normal,Flying,65,90,65,61,61,100,1,0,Rock,Bug,75,125,100,70,80,45,3,0,0
45008,Water,None,30,105,90,25,25,50,1,0,Poison,None,55,47,52,40,40,41,1,0,0
45009,Flying,Dragon,85,70,80,97,80,123,6,0,Normal,Ground,85,56,77,50,77,78,6,0,0
45010,Fire,None,38,41,40,50,65,65,1,0,Normal,Fight,65,136,94,54,96,135,4,0,1
45011,Water,None,65,65,65,50,50,90,1,0,Dark,Dragon,92,105,90,125,90,98,5,0,1
45012,Dragon,Ground,58,70,45,40,45,42,4,0,Bug,Fight,80,185,115,40,105,75,2,0,1
45013,Water,None,85,105,55,85,50,115,4,0,Grass,None,100,100,100,100,100,100,4,1,0
45014,Ghost,Grass,59,66,70,44,55,41,6,0,Bug,Flying,60,70,50,100,50,65,3,0,1
45015,Dark,None,40,65,40,80,40,65,5,0,Steel,Ground,75,85,200,55,65,30,2,0,0
45016,Poison,Bug,40,50,90,30,55,65,4,0,Fire,None,73,76,75,81,100,100,1,0,1
45017,Bug,Ghost,1,90,45,30,30,40,3,0,Electric,None,35,55,40,45,40,60,5,0,1
45018,Fight,Psychic,60,100,85,80,85,100,3,0,Psychic,None,45,30,50,65,50,45,4,0,0
45019,Water,Flying,95,125,79,60,100,81,1,0,Grass,None,80,82,100,83,100,80,2,0,0
45020,Normal,None,65,60,70,85,75,40,1,0,Poison,None,35,60,44,40,54,55,1,0,1
45021,Ice,Water,70,40,50,55,50,25,3,0,Water,None,20,10,55,15,20,80,1,0,0
45022,Grass,None,60,40,60,40,60,35,3,0,Rock,None,80,100,200,50,100,50,3,1,1
45023,Normal,Flying,60,110,70,60,60,100,1,0,Fire,Ground,70,100,70,105,75,40,3,0,0
45024,Ground,Flying,89,145,90,105,80,91,5,1,Dark,Fire,75,90,50,110,80,95,2,0,1
45025,Dragon,Ground,58,70,45,40,45,42,4,0,Fight,None,75,80,55,25,35,35,5,0,0
45026,Grass,Flying,100,103,75,120,75,127,4,1,Ice,Ground,100,100,80,60,60,50,2,0,0
45027,Fire,Fight,90,93,55,70,55,55,5,0,Electric,None,65,85,70,75,70,40,5,0,0
45028,Normal,None,55,66,44,44,56,85,4,0,Rock,Ground,50,64,50,45,50,41,2,0,0
45029,Normal,None,49,55,42,42,37,85,4,0,Rock,Fairy,50,100,150,100,150,50,6,1,0
45030,Rock,Psychic,70,95,85,55,65,70,3,0,Dark,Flying,70,55,75,45,65,60,5,0,0
45031,Poison,None,65,90,120,85,70,60,1,0,Rock,Ground,55,95,115,45,45,35,1,0,0
45032,Electric,Steel,70,70,115,130,90,60,4,0,Ice,Ground,50,50,40,30,30,50,2,0,0
45033,Grass,Flying,100,103,75,120,75,127,4,1,Steel,None,80,75,150,75,150,50,3,1,0
45034,Rock,None,30,45,135,45,90,30,3,0,Grass,Dragon,70,110,75,145,85,145,3,0,1
45035,Dark,None,64,88,50,88,50,106,5,0,Normal,None,85,80,70,135,75,90,4,0,0
45036,Electric,Normal,44,38,33,61,43,70,6,0,Electric,None,60,85,49,60,49,60,4,0,0
45037,Fire,Psychic,75,69,72,114,100,104,6,0,Water,None,70,92,65,80,55,98,5,0,0
45038,Water,Rock,54,78,103,53,45,22,5,0,Bug,None,50,75,45,40,45,60,5,0,1
45039,Electric,None,40,30,50,55,55,100,1,0,Bug,Poison,60,100,89,55,69,112,5,0,1
45040,Fire,Flying,78,84,78,109,85,100,1,0,Water,Dark,95,155,109,70,130,81,1,0,0
45041,Dragon,None,46,87,60,30,40,57,5,0,Psychic,None,55,55,55,85,55,30,5,0,0
45042,Water,None,76,48,48,57,62,34,4,0,Bug,None,65,125,100,55,70,85,1,0,1
45043,Bug,Steel,75,90,140,60,60,40,2,0,Normal,Flying,60,110,70,60,60,100,1,0,1
45044,Steel,Fight,91,90,129,90,72,108,5,1,Poison,Water,50,60,60,60,60,30,6,0,0
45045,Normal,None,70,70,70,70,70,70,3,0,Grass,None,50,85,40,85,40,35,3,0,0
45046,Ground,Dragon,80,100,80,80,80,100,3,0,Normal,Flying,35,85,45,35,35,75,1,0,0
45047,Water,None,65,65,65,50,50,90,1,0,Dark,Ghost,50,85,125,85,115,20,3,0,1
45048,Water,None,30,105,90,25,25,50,1,0,Rock,Bug,45,95,50,40,50,75,3,0,1
45049,Normal,None,60,60,60,60,60,60,3,0,Ice,Psychic,45,30,15,85,65,65,2,0,1
45050,Dragon,None,45,75,60,40,30,50,3,0,Normal,None,90,55,75,60,75,30,1,0,0
45051,Ice,Psychic,45,30,15,85,65,65,2,0,Bug,Electric,70,77,60,97,60,108,5,0,1
45052,Bug,Rock,20,10,230,10,230,5,2,0,Psychic,None,80,105,105,105,105,80,4,1,1
45053,Rock,Fight,91,129,90,72,90,108,5,1,Psychic,None,55,55,55,85,55,30,5,0,0
45054,Fight,None,67,82,62,46,48,43,6,0,Fire,None,85,97,66,105,66,65,5,0,1
45055,Bug,Rock,70,95,125,65,75,45,5,0,Ground,Fire,100,180,160,150,90,90,3,1,1
45056,Bug,Flying,65,65,45,75,45,95,2,0,Fire,Normal,62,50,58,73,54,72,6,0,0
45057,Bug,Grass,35,70,55,45,55,25,1,0,Psychic,None,116,55,85,107,95,29,5,0,1
45058,Ground,Flying,89,125,90,115,80,101,5,1,Water,None,170,90,45,90,45,60,3,0,0
45059,Normal,None,55,55,50,45,65,55,1,0,Ground,Dark,95,117,80,65,70,92,5,0,1
45060,Fire,Psychic,105,30,105,140,105,55,5,0,Rock,Water,30,80,90,55,45,55,1,0,1
45061,Normal,None,85,80,70,135,75,90,4,0,Grass,Dark,70,70,40,60,40,60,3,0,0
45062,Bug,Poison,60,50,70,50,90,65,3,0,Dark,None,35,55,35,30,30,35,3,0,0
45063,Ground,Dark,60,82,45,45,45,74,5,0,Ice,None,55,70,40,60,40,40,5,0,0
45064,Water,None,20,15,20,10,55,80,3,0,Water,None,41,56,40,62,44,71,6,0,0
45065,Dark,Dragon,92,105,90,125,90,98,5,0,Bug,Steel,75,90,140,60,60,40,2,0,0
45066,Grass,None,56,61,65,48,45,38,6,0,Grass,Flying,75,55,70,55,95,110,2,0,1
45067,Fire,None,105,140,55,30,55,95,5,0,Fairy,None,62,48,66,59,57,49,6,0,0
45068,Bug,Grass,60,95,80,60,80,30,1,0,Bug,Flying,70,94,50,94,50,66,4,0,1
45069,Normal,Fairy,103,60,126,80,126,50,5,0,Bug,Grass,60,59,85,79,105,36,4,0,0
45070,Fire,Normal,62,50,58,73,54,72,6,0,Grass,None,100,100,100,100,100,100,4,1,1
45071,Ice,None,80,80,80,80,80,80,3,0,Bug,Fire,85,60,65,135,105,100,5,0,1
45072,Poison,None,55,47,52,40,40,41,1,0,Rock,Ground,35,45,160,30,45,70,1,0,1
45073,Water,None,170,90,45,90,45,60,3,0,Steel,Psychic,80,145,150,105,110,110,3,0,1
45074,Water,Psychic,90,65,65,40,40,15,1,0,Water,None,20,15,20,10,55,80,3,0,0
45075,Fairy,Flying,55,40,85,80,105,40,2,0,Rock,Fairy,50,50,150,50,150,50,6,0,1
45076,Psychic,None,74,48,76,83,81,104,6,0,Grass,Flying,55,45,50,45,65,80,2,0,0
45077,Water,Dragon,75,95,95,95,95,85,2,0,Water,None,70,92,65,80,55,98,5,0,1
45078,Electric,None,60,50,40,85,75,95,3,0,Ice,None,65,60,110,130,95,65,4,0,0
45079,Grass,None,75,80,95,90,100,50,2,0,Rock,Psychic,70,95,85,55,65,70,3,0,1
45080,Water,Dark,70,120,40,95,40,95,3,0,Rock,Fairy,50,100,150,100,150,50,6,1,0
45081,Normal,Flying,45,40,60,40,75,50,3,0,Grass,Poison,65,90,50,85,45,55,1,0,1
45082,Fairy,None,95,70,73,95,90,60,1,0,Electric,None,45,60,32,50,32,76,5,0,1
45083,Normal,Flying,85,120,70,50,60,100,4,0,Rock,Bug,75,125,100,70,80,45,3,0,0
45084,Grass,None,100,100,125,110,50,50,4,0,Normal,Flying,62,77,62,50,42,65,5,0,1
45085,Grass,Poison,50,60,45,100,80,65,3,0,Ghost,Grass,49,66,70,44,55,51,6,0,0
45086,Fire,None,75,98,63,98,63,101,5,0,Psychic,None,60,48,45,43,90,42,1,0,0
45087,Electric,None,55,40,40,65,45,35,2,0,Grass,Poison,75,80,85,110,90,50,1,0,1
45088,Normal,None,65,70,60,65,65,115,1,0,Bug,Flying,30,30,42,30,42,70,4,0,0
45089,Ice,Water,70,40,50,55,50,25,3,0,Water,Fight,91,72,90,129,90,108,5,0,1
45090,Water,None,55,84,105,114,75,52,3,0,Rock,Dark,100,134,110,95,100,61,2,0,1
45091,Psychic,None,70,55,95,95,110,65,5,0,Psychic,None,74,48,76,83,81,104,6,0,1
45092,Ground,Psychic,40,40,55,40,70,55,3,0,Poison,None,100,73,83,73,83,55,3,0,1
45093,Rock,Ground,50,64,50,45,50,41,2,0,Grass,Poison,69,55,45,55,55,15,5,0,0
45094,Grass,None,80,82,100,83,100,80,2,0,Fire,Flying,62,73,55,56,52,84,6,0,1
45095,Water,None,100,75,115,90,115,85,2,1,Grass,None,74,100,72,90,72,46,4,0,0
45096,Grass,Flying,55,45,50,45,65,80,2,0,Ground,Dragon,50,70,50,50,50,70,3,0,0
45097,Fire,Psychic,75,69,72,114,100,104,6,0,Poison,Ground,90,92,87,75,85,76,1,0,0
45098,Fire,None,65,95,57,100,85,93,1,0,Poison,None,70,62,67,55,55,56,1,0,0
45099,Electric,None,45,60,32,50,32,76,5,0,Normal,None,150,160,100,95,65,100,3,0,1
45100,Water,None,55,104,105,94,75,52,3,0,Bug,None,50,75,45,40,45,60,5,0,1
45101,Bug,Poison,40,55,99,40,79,47,5,0,Ice,None,70,50,30,95,135,105,5,0,1
45102,Water,None,65,45,55,45,70,45,1,0,Psychic,None,116,55,85,107,95,29,5,0,0
45103,Fire,Water,80,110,120,130,90,70,6,1,Ground,Ghost,59,74,50,35,50,35,5,0,0
45104,Dark,Steel,45,85,70,40,40,60,5,0,Bug,Poison,30,45,59,30,39,57,5,0,0
45105,Water,None,85,105,55,85,50,115,4,0,Psychic,None,40,35,30,120,70,105,1,0,0
45106,Bug,Grass,75,103,80,70,80,92,5,0,Water,None,100,150,90,180,160,90,3,1,0
45107,Ghost,Dark,50,92,108,92,108,35,4,0,Bug,Electric,70,77,60,97,60,108,5,0,1
45108,Grass,Dark,70,70,40,60,40,60,3,0,Flying,None,79,115,70,125,80,111,5,1,1
45109,Grass,None,56,61,65,48,45,38,6,0,Ghost,Grass,55,85,122,58,75,99,6,0,1
45110,Ice,None,50,50,50,50,50,50,3,0,Rock,None,85,135,130,60,80,25,5,0,1
45111,Rock,Water,70,60,125,115,70,55,1,0,Fire,None,50,85,55,65,65,90,1,0,1
45112,Steel,Psychic,80,135,130,95,90,70,3,0,Normal,None,55,20,35,20,45,75,2,0,1
45113,Water,None,55,55,45,63,45,45,5,0,Fire,Flying,90,100,90,125,85,90,1,1,1
45114,Water,None,65,45,55,45,70,45,1,0,Bug,Rock,70,95,125,65,75,45,5,0,1
45115,Fight,None,40,80,35,35,45,70,1,0,Bug,Poison,45,25,50,25,25,35,1,0,0
45116,Grass,Flying,35,35,40,35,55,50,2,0,Ice,None,80,50,100,100,200,50,3,1,1
45117,Rock,Dark,100,164,150,95,120,71,2,0,Normal,None,75,95,60,65,60,115,5,0,1
45118,Water,Fight,91,72,90,129,90,108,5,0,Poison,Flying,85,90,80,70,80,130,2,0,1
45119,Normal,Flying,50,55,50,36,30,43,5,0,Grass,Dragon,70,110,75,145,85,145,3,0,1
45120,Dragon,Fairy,75,110,110,110,105,80,3,0,Water,None,35,65,35,65,35,65,2,0,0
45121,Rock,Flying,80,135,85,70,95,150,1,0,Psychic,None,190,33,58,33,58,33,2,0,0
45122,Water,Flying,62,44,50,44,50,55,5,0,Water,None,100,100,100,100,100,100,4,0,1
45123,Water,Dark,72,95,67,103,71,122,6,0,Ground,None,75,100,110,45,55,65,1,0,0
45124,Dragon,None,46,87,60,30,40,57,5,0,Bug,Grass,35,70,55,45,55,25,1,0,0
45125,Rock,Water,72,105,115,54,86,68,6,0,Bug,Steel,70,150,140,65,100,75,2,0,1
45126,Dragon,None,45,50,35,55,75,40,6,0,Fire,Flying,90,100,90,125,85,90,1,1,1
45127,Normal,Flying,70,83,50,37,50,60,5,0,Bug,None,40,29,45,29,45,36,4,0,0
45128,Dragon,Ice,125,130,90,130,90,95,5,1,Normal,None,60,85,69,60,69,77,5,0,0
45129,Normal,None,38,30,41,30,41,60,3,0,Water,Ground,110,78,73,76,71,60,3,0,1
45130,Steel,Psychic,80,135,130,95,90,70,3,0,Ghost,Grass,85,110,76,65,82,56,6,0,0
45131,Bug,Fight,80,125,75,40,95,85,2,0,Electric,None,65,65,60,110,95,130,1,0,1
