,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
0,Rock,Ground,50,64,50,45,50,41,2,0,Grass,Dark,70,70,40,60,40,60,3,0,1
1,Grass,Fight,91,90,72,90,129,108,5,1,Rock,Fight,91,129,90,72,90,108,5,1,1
2,Fairy,Flying,55,40,85,80,105,40,2,0,Psychic,None,75,75,75,125,95,40,5,0,1
3,Fire,None,40,40,40,70,40,20,2,0,Dragon,None,77,120,90,60,90,48,5,0,1
4,Rock,Water,70,60,125,115,70,55,1,0,Bug,Rock,20,10,230,10,230,5,2,0,0
5,Bug,Electric,50,47,50,57,50,65,5,0,Steel,Ghost,60,50,150,50,150,60,6,0,0
6,Psychic,Flying,40,50,45,70,45,70,2,0,Ice,Psychic,65,50,35,115,95,95,1,0,1
7,Fight,None,70,80,50,35,35,35,1,0,Ghost,Dragon,150,100,120,100,120,90,4,1,1
8,Bug,None,50,65,90,35,35,15,2,0,Water,None,50,53,62,58,63,44,6,0,1
9,Water,Flying,40,30,30,55,30,85,3,0,Electric,None,35,55,40,50,50,90,1,0,1
10,Normal,Flying,40,55,30,30,30,60,4,0,Water,None,30,45,55,70,55,85,1,0,1
11,Rock,Fight,91,129,90,72,90,108,5,1,Ghost,None,38,30,85,55,65,30,5,0,0
12,Bug,None,50,20,55,25,25,30,1,0,Water,Ground,100,110,90,85,90,60,3,0,1
13,Rock,Water,70,60,125,115,70,55,1,0,Water,Psychic,95,75,110,100,80,30,1,0,0
14,Rock,Dark,100,164,150,95,120,71,2,0,Bug,Flying,70,94,50,94,50,66,4,0,0
15,Water,None,50,53,62,58,63,44,6,0,Bug,None,77,85,51,55,51,65,4,0,1
16,Water,Ice,130,85,80,85,95,60,1,0,Electric,None,90,85,75,115,100,115,2,1,1
17,Normal,Flying,45,40,60,40,75,50,3,0,Ice,Ground,100,100,80,60,60,50,2,0,1
18,Fight,Steel,70,145,88,140,70,112,4,0,Rock,Fairy,50,50,150,50,150,50,6,0,0
19,Water,None,95,100,85,108,70,70,5,0,Psychic,None,116,55,85,107,95,29,5,0,0
20,Water,None,64,66,68,81,76,50,4,0,Dark,Steel,65,125,100,60,70,70,5,0,1
21,Water,Ground,110,78,73,76,71,60,3,0,Water,Steel,84,86,88,111,101,60,4,0,1
22,Water,Ghost,55,40,50,65,85,40,5,0,Ghost,Fire,60,55,90,145,90,80,5,0,1
23,Ground,Rock,105,130,120,45,45,40,1,0,Fire,Ground,70,120,100,145,105,20,3,0,0
24,Grass,None,45,35,50,70,50,30,5,0,Electric,Flying,55,75,60,75,60,103,5,0,1
25,Psychic,Flying,106,90,130,90,154,110,2,1,Dragon,Electric,100,150,120,120,100,90,5,1,0
26,Bug,Ground,60,79,105,59,85,36,4,0,Normal,None,85,110,90,45,90,80,5,0,1
27,Water,Rock,54,78,103,53,45,22,5,0,Rock,Dragon,58,89,77,45,45,48,6,0,1
28,Normal,None,75,100,95,40,70,110,1,0,Electric,None,80,120,79,95,79,70,4,0,0
29,Bug,Steel,58,109,112,48,48,109,5,0,Psychic,None,74,48,76,83,81,104,6,0,0
30,Rock,None,97,165,60,65,50,58,4,0,Water,None,100,100,100,100,100,100,4,0,1
31,Bug,Flying,55,35,50,55,110,85,2,0,Normal,Flying,60,85,60,50,50,125,3,0,1
32,Grass,None,75,75,55,105,85,30,2,0,Poison,Flying,85,90,80,70,80,130,2,0,1
33,Electric,Flying,50,65,107,105,107,86,4,0,Normal,Flying,45,40,60,40,75,50,3,0,0
34,Fire,None,45,75,37,70,55,83,2,0,Rock,Bug,75,125,100,70,80,45,3,0,1
35,Water,Ground,111,83,68,92,82,39,4,0,Rock,Dark,100,164,150,95,120,71,2,0,1
36,Dark,Fight,50,75,70,35,70,48,5,0,Normal,None,38,30,41,30,41,60,3,0,1
37,Water,None,43,30,55,40,65,97,3,0,Ice,Psychic,65,50,35,115,95,95,1,0,0
38,Normal,Fairy,103,60,126,80,126,50,5,0,Poison,Dark,70,90,110,60,75,95,4,0,1
39,Normal,None,45,55,39,35,39,42,5,0,Water,None,35,65,35,65,35,65,2,0,1
40,Normal,Flying,50,55,50,36,30,43,5,0,Water,None,35,65,35,65,35,65,2,0,1
41,Water,Fairy,100,50,80,60,80,50,2,0,Grass,None,56,61,65,48,45,38,6,0,0
42,Ground,Psychic,40,40,55,40,70,55,3,0,Electric,None,65,83,57,95,85,105,1,0,0
43,Grass,Poison,50,75,35,70,30,40,1,0,Water,Steel,84,86,88,111,101,60,4,0,1
44,Psychic,None,55,55,55,85,55,30,5,0,Ice,None,51,65,65,80,75,59,5,0,1
45,Normal,None,55,66,44,44,56,85,4,0,Ice,Water,90,60,70,75,70,45,3,0,0
46,Grass,Poison,80,82,83,100,100,80,1,0,Fire,Normal,86,68,72,109,66,106,6,0,1
47,Grass,Ground,95,109,105,75,85,56,4,0,Normal,Fairy,115,45,20,45,25,20,1,0,0
48,Bug,Rock,20,10,230,10,230,5,2,0,Water,None,130,65,60,110,95,65,1,0,1
49,Grass,Ice,60,62,50,62,60,40,4,0,Water,Fight,91,72,90,129,90,108,5,0,1
50,Rock,Steel,30,42,118,42,88,30,4,0,Fire,None,45,75,37,70,55,83,2,0,1
51,Psychic,Fight,106,190,100,154,100,130,1,1,Steel,Ghost,60,150,50,150,50,60,6,0,1
52,Ground,None,100,150,140,100,90,90,3,1,Fairy,None,101,72,72,99,89,29,6,0,0
53,Ice,Psychic,45,30,15,85,65,65,2,0,Ghost,Grass,43,70,48,50,60,38,6,0,0
54,Ground,None,45,100,45,45,45,10,3,0,Grass,None,75,75,55,105,85,30,2,0,1
55,Fire,None,59,59,58,90,70,73,6,0,Ice,None,71,95,85,110,95,79,5,0,1
56,Normal,None,70,70,70,70,70,70,3,0,Electric,Fire,50,65,107,105,107,86,4,0,1
57,Bug,None,45,22,60,27,30,29,6,0,Dragon,None,66,117,70,40,50,67,5,0,1
58,Water,Flying,95,125,79,60,100,81,1,0,Grass,Fight,88,107,122,74,75,64,6,0,0
59,Ice,Flying,45,55,45,65,45,75,2,0,Grass,None,66,65,48,62,57,52,6,0,0
60,Water,Flying,45,20,50,60,120,50,4,0,Psychic,None,48,72,48,72,48,48,2,0,0
