,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
0,Fire,Ground,60,60,40,65,45,35,3,0,Dark,Fire,45,60,30,80,50,65,2,0,1
1,Ice,Water,90,60,70,75,70,45,3,0,Fire,None,115,115,85,90,75,100,2,1,1
2,Fairy,None,90,120,75,60,60,45,2,0,Water,Ground,50,48,43,46,41,60,3,0,1
3,Normal,Flying,100,123,75,57,75,80,5,0,Water,None,50,53,62,58,63,44,6,0,0
4,Bug,Steel,70,150,140,65,100,75,2,0,Normal,Flying,62,77,62,50,42,65,5,0,0
5,Grass,Flying,99,68,83,72,87,51,3,0,Fight,None,67,82,62,46,48,43,6,0,0
6,Electric,Steel,70,70,115,130,90,60,4,0,Poison,None,46,57,40,40,40,50,1,0,0
7,Water,Ground,70,85,70,60,70,50,3,0,Electric,Ghost,50,50,77,95,77,91,4,0,1
8,Rock,Fairy,50,160,110,160,110,110,6,1,Rock,Water,72,105,115,54,86,68,6,0,0
9,Rock,Dragon,82,121,119,69,59,71,6,0,Poison,Fight,83,106,65,86,65,85,4,0,1
10,Ice,None,51,65,65,80,75,59,5,0,Grass,None,30,30,30,30,30,30,2,0,0
11,Normal,None,60,60,60,60,60,60,3,0,Normal,Flying,80,115,80,65,55,93,5,0,1
12,Rock,Dragon,58,89,77,45,45,48,6,0,Psychic,Fairy,68,85,65,165,135,100,3,0,1
13,Water,None,50,53,62,58,63,44,6,0,Water,None,80,92,65,65,80,68,1,0,1
14,Bug,None,65,47,55,73,75,85,3,0,Steel,Flying,65,80,140,40,70,70,2,0,0
15,Normal,None,255,10,10,75,135,55,2,0,Fight,None,50,120,53,35,110,87,1,0,1
16,Normal,Flying,60,85,60,50,50,125,3,0,Steel,None,60,80,95,70,85,50,5,0,0
17,Psychic,Dark,80,160,60,170,130,80,6,1,Poison,None,65,90,120,85,70,60,1,0,0
18,Bug,Flying,70,94,50,94,50,66,4,0,Ghost,None,44,75,35,63,33,45,3,0,0
19,Dark,Fire,45,60,30,80,50,65,2,0,Normal,Flying,35,85,45,35,35,75,1,0,1
20,Normal,Flying,62,77,62,50,42,65,5,0,Bug,Grass,60,95,80,60,80,30,1,0,0
21,Poison,None,55,47,52,40,40,41,1,0,Psychic,None,50,150,50,150,50,150,3,1,1
22,Ghost,Flying,150,80,44,90,54,80,4,0,Grass,Dark,70,70,40,60,40,60,3,0,0
23,Fire,Fight,90,93,55,70,55,55,5,0,Normal,Flying,60,110,70,60,60,100,1,0,1
24,Water,Flying,75,87,63,87,63,98,5,0,Grass,Poison,50,60,45,100,80,65,3,0,0
25,Fire,Fight,90,93,55,70,55,55,5,0,Grass,None,50,53,48,53,48,64,5,0,1
26,Dark,Fight,50,75,70,35,70,48,5,0,Normal,None,95,110,95,40,95,55,5,0,1
27,Psychic,Grass,100,100,100,100,100,100,2,0,Bug,Electric,70,77,60,97,60,108,5,0,1
28,Water,Ground,70,85,70,60,70,50,3,0,Normal,Fight,100,128,90,77,77,128,5,0,1
29,Ghost,None,44,75,35,63,33,45,3,0,Normal,None,135,85,40,40,85,5,4,0,1
30,Water,Ground,105,95,75,85,75,74,5,0,Dragon,None,76,147,90,60,70,97,5,0,1
31,Bug,Poison,65,90,40,45,80,75,1,0,Rock,Grass,86,81,97,81,107,43,3,0,0
32,Steel,Psychic,67,89,116,79,116,33,4,0,Bug,None,50,75,45,40,45,60,5,0,1
33,Steel,Rock,50,70,100,40,40,30,3,0,Fire,None,65,100,70,80,80,105,1,0,1
34,Grass,Ice,90,92,75,92,85,60,4,0,Psychic,None,45,30,50,55,65,45,5,0,0
35,Water,None,50,65,64,44,48,43,2,0,Fire,None,50,53,48,53,48,64,5,0,1
36,Rock,Water,35,40,100,90,55,35,1,0,Ground,None,10,55,25,35,45,95,1,0,1
37,Bug,None,50,65,90,35,35,15,2,0,Bug,Ghost,1,90,45,30,30,40,3,0,1
38,Bug,None,45,45,35,20,30,20,3,0,Ghost,Grass,65,90,122,58,75,84,6,0,1
39,Fire,None,65,100,70,80,80,105,1,0,Fairy,None,60,80,50,40,40,30,2,0,0
40,Fight,None,70,80,50,35,35,35,1,0,Water,Ground,95,85,85,65,65,35,2,0,1
41,Normal,Grass,60,60,50,40,50,75,5,0,Poison,Bug,40,50,90,30,55,65,4,0,0
42,Psychic,None,74,48,76,83,81,104,6,0,Ghost,Grass,59,66,70,44,55,41,6,0,0
43,Ice,None,50,50,50,50,50,50,3,0,Steel,Psychic,100,100,100,100,100,100,3,1,1
44,Fire,Flying,78,81,71,74,69,126,6,0,Ground,None,108,112,118,68,72,47,4,0,1
45,Poison,None,46,57,40,40,40,50,1,0,Water,None,20,10,55,15,20,80,1,0,0
46,Fire,Flying,62,73,55,56,52,84,6,0,Electric,None,55,40,40,65,45,35,2,0,0
47,Rock,Flying,75,140,65,112,65,110,5,0,Dragon,None,65,95,100,60,50,50,3,0,0
48,Fight,None,72,60,30,20,30,25,3,0,Water,None,65,65,65,50,50,90,1,0,1
49,Fairy,Flying,55,40,85,80,105,40,2,0,Rock,Dark,100,134,110,95,100,61,2,0,1
50,Grass,Poison,80,82,83,100,100,80,1,0,Psychic,None,65,50,70,95,80,65,3,0,0
51,Electric,None,40,45,40,65,40,65,3,0,Normal,None,90,55,75,60,75,30,1,0,0
52,Electric,Flying,50,65,107,105,107,86,4,0,Grass,None,75,89,85,55,65,36,4,0,0
53,Fire,Ground,70,120,100,145,105,20,3,0,Fairy,None,60,80,50,40,40,30,2,0,1
54,Ice,Flying,90,85,100,95,125,85,1,1,Fairy,None,60,80,50,40,40,30,2,0,0
55,Flying,None,79,115,70,125,80,111,5,1,Fire,Flying,78,81,71,74,69,126,6,0,1
56,Fire,Flying,78,81,71,74,69,126,6,0,Grass,Poison,60,62,63,80,80,60,1,0,0
57,Psychic,Ghost,80,110,60,150,130,70,6,1,Psychic,Fairy,68,85,65,165,135,100,3,0,1
58,Ice,None,70,50,30,95,135,105,5,0,Electric,None,65,83,57,95,85,105,1,0,1
59,Normal,None,65,76,84,54,96,105,4,0,Bug,Poison,60,55,50,40,55,45,1,0,0
60,Electric,None,75,100,63,80,63,116,5,0,Normal,None,50,45,45,35,35,50,3,0,0
61,Bug,Poison,45,25,50,25,25,35,1,0,Bug,None,40,29,45,29,45,36,4,0,1
62,Water,None,43,80,65,50,35,35,3,0,Poison,Bug,40,50,90,30,55,65,4,0,1
63,Rock,Water,70,60,125,115,70,55,1,0,Fire,None,65,63,45,45,45,45,5,0,0
64,Psychic,None,55,55,55,85,55,30,5,0,Ice,Flying,45,55,45,65,45,75,2,0,1
65,Bug,Poison,30,45,59,30,39,57,5,0,Rock,Ground,40,80,100,30,30,20,1,0,1
66,Bug,Poison,40,55,99,40,79,47,5,0,Bug,Rock,20,10,230,10,230,5,2,0,0
67,Fire,None,40,45,40,62,60,60,6,0,Water,None,53,51,53,61,56,40,4,0,0
68,Rock,None,70,105,105,50,40,20,5,0,Water,None,55,104,105,94,75,52,3,0,1
69,Water,Dragon,75,95,95,95,95,85,2,0,Electric,Flying,90,90,85,125,90,100,1,1,1
70,Water,None,45,67,60,35,50,63,1,0,Normal,Flying,80,115,80,65,55,93,5,0,1
71,Bug,Flying,70,110,80,55,80,105,1,0,Normal,Flying,50,55,50,36,30,43,5,0,0
72,Steel,Psychic,80,135,130,95,90,70,3,0,Ghost,Flying,90,50,34,60,44,70,4,0,1
73,Electric,None,70,55,55,80,60,45,2,0,Bug,None,50,20,55,25,25,30,1,0,0
74,Ground,Rock,105,130,120,45,45,40,1,0,Water,None,130,65,60,110,95,65,1,0,1
75,Psychic,None,190,33,58,33,58,33,2,0,Fire,None,70,85,140,85,70,20,3,0,0
76,Poison,Ground,81,102,77,85,75,85,1,0,Bug,Flying,70,110,80,55,80,105,1,0,1
77,Electric,None,65,83,57,95,85,105,1,0,Grass,None,75,75,55,105,85,30,2,0,0
78,Ground,None,60,80,110,50,80,45,1,0,Grass,Fight,60,130,80,60,60,70,3,0,1
79,Normal,None,120,120,120,120,120,120,4,1,Psychic,Fairy,28,25,25,45,35,40,3,0,0
80,Poison,None,70,62,67,55,55,56,1,0,Poison,None,70,43,53,43,53,40,3,0,0
81,Poison,Ground,90,92,87,75,85,76,1,0,Psychic,None,45,30,50,55,65,45,5,0,0
82,Fire,None,105,140,55,30,55,95,5,0,Water,Ground,75,65,55,65,55,69,5,0,0
83,Water,Dark,70,140,70,110,65,105,3,0,Normal,Flying,40,55,30,30,30,85,3,0,0
84,Ground,None,10,55,25,35,45,95,1,0,Rock,None,70,100,115,30,65,30,2,0,1
85,Water,None,165,75,80,40,45,65,5,0,Water,None,100,100,100,100,100,100,4,0,1
86,Grass,None,56,61,65,48,45,38,6,0,Electric,None,70,55,55,80,60,45,2,0,1
87,Water,None,70,92,65,80,55,98,5,0,Water,None,170,90,45,90,45,60,3,0,0
88,Dark,Fire,75,90,50,110,80,95,2,0,Electric,None,85,115,80,105,80,50,5,0,0
89,Fire,Flying,78,104,78,159,115,100,1,0,Normal,None,55,66,44,44,56,85,4,0,0
90,Water,Dark,70,140,70,110,65,105,3,0,Normal,Fight,65,136,94,54,96,135,4,0,1
91,Rock,Ground,50,64,50,45,50,41,2,0,Dragon,None,68,75,53,83,113,60,6,0,1
92,Normal,None,120,120,120,120,120,120,4,1,Fight,None,45,85,50,55,50,65,5,0,0
93,Bug,Grass,75,103,80,70,80,92,5,0,Fairy,None,35,20,65,40,65,20,2,0,0
94,Ghost,Poison,45,50,45,115,55,95,1,0,Ghost,Fire,60,55,90,145,90,80,5,0,0
95,Electric,None,70,75,80,135,80,135,3,0,Ghost,Poison,60,65,60,130,75,110,1,0,0
96,Bug,Flying,30,30,42,30,42,70,4,0,Water,Rock,100,90,130,45,65,55,3,0,1
97,Water,Ground,111,83,68,92,82,39,4,0,Electric,None,75,123,67,95,85,95,4,0,1
98,Dark,Fight,50,75,70,35,70,48,5,0,Steel,None,70,140,230,60,80,50,3,0,1
99,Water,Dragon,90,120,100,150,120,100,4,1,Water,Electric,75,38,38,56,56,67,2,0,0
100,Normal,Flying,45,50,43,40,38,62,6,0,Bug,None,65,125,100,55,70,85,1,0,1
101,Grass,None,60,40,60,40,60,35,3,0,Rock,Water,60,115,105,65,70,80,1,0,1
102,Water,None,65,45,55,45,70,45,1,0,Bug,Flying,65,155,120,65,90,105,1,0,1
103,Normal,Psychic,100,77,77,128,128,90,5,0,Dark,None,40,65,40,80,40,65,5,0,0
104,Water,None,55,104,105,94,75,52,3,0,Grass,Poison,45,50,55,75,65,30,1,0,0
105,Normal,None,38,36,38,32,36,57,6,0,Grass,Dark,70,115,60,115,60,55,3,0,0
106,Grass,None,50,65,45,85,65,95,3,0,Poison,None,40,65,95,60,45,35,1,0,0
107,Normal,Flying,70,83,50,37,50,60,5,0,Rock,Flying,80,105,65,60,75,130,1,0,1
108,Water,Ground,75,65,55,65,55,69,5,0,Electric,None,60,40,50,75,85,95,3,0,1
109,Water,Dark,72,95,67,103,71,122,6,0,Fire,Fight,64,78,52,78,52,81,4,0,0
110,Dark,Flying,126,131,95,131,98,99,6,1,Grass,Dark,90,100,60,90,60,80,3,0,0
111,Fire,None,73,76,75,81,100,100,1,0,Steel,Psychic,57,24,86,24,86,23,4,0,0
112,Bug,None,45,30,35,20,20,45,1,0,Dark,Ice,55,95,55,35,75,115,2,0,1
113,Ground,None,60,85,40,30,45,68,5,0,Dark,Ghost,50,85,125,85,115,20,3,0,1
114,Water,None,76,48,48,57,62,34,4,0,Grass,None,60,40,60,40,60,35,3,0,1
115,Normal,None,104,91,63,91,73,68,3,0,Rock,Fairy,50,50,150,50,150,50,6,0,0
116,Dragon,Psychic,80,80,90,110,130,110,3,1,Electric,Water,50,65,107,105,107,86,4,0,0
