,1Type1,1Type2,1HP,1Attack,1Defence,1Sp.Attack,1Sp.Def,1Speed,1Generation,1Legendary,2Type1,2Type2,2HP,2Attack,2Defence,2Sp.Attack,2Sp.Def,2Speed,2Generation,2Legendary,Winner
0,Electric,None,85,115,80,105,80,50,5,0,Water,None,80,80,80,80,80,80,4,0,1
1,Rock,Dark,100,164,150,95,120,71,2,0,Fire,None,39,52,43,60,50,65,1,0,0
2,Dark,Ice,70,120,65,45,85,125,4,0,Water,None,53,51,53,61,56,40,4,0,0
3,Dark,Ghost,50,85,125,85,115,20,3,0,Normal,None,65,60,70,85,75,40,1,0,1
4,Water,Psychic,90,65,65,40,40,15,1,0,Water,Fight,90,95,95,70,90,70,1,0,0
5,Normal,Flying,80,115,80,65,55,93,5,0,Water,None,130,65,60,110,95,65,1,0,0
6,Electric,None,40,30,50,55,55,100,1,0,Grass,Dragon,70,110,75,145,85,145,3,0,1
7,Water,None,50,50,40,50,40,64,5,0,Fight,None,80,100,70,50,60,45,1,0,0
8,Fire,Rock,50,50,120,80,80,30,2,0,Dragon,Electric,100,150,120,120,100,90,5,1,1
9,Ghost,None,60,60,60,85,85,85,2,0,Electric,None,90,85,75,115,100,115,2,1,1
10,Normal,Psychic,100,77,77,128,128,90,5,0,Electric,None,60,50,70,80,80,140,1,0,1
11,Electric,Flying,79,105,70,145,80,101,5,1,Water,None,55,65,95,95,45,85,1,0,0
12,Electric,Normal,62,55,52,109,94,109,6,0,Water,Steel,84,86,88,111,101,60,4,0,0
13,Psychic,None,74,48,76,83,81,104,6,0,Psychic,None,65,40,50,125,60,30,5,0,0
14,Dark,Flying,126,131,95,131,98,99,6,1,Ghost,Grass,65,90,122,58,75,84,6,0,0
15,Electric,Ghost,50,50,77,95,77,91,4,0,Ice,None,55,69,85,32,35,28,6,0,1
16,Psychic,Fairy,28,25,25,45,35,40,3,0,Water,None,55,65,95,95,45,85,1,0,1
17,Steel,Ghost,59,110,150,45,49,35,6,0,Electric,None,90,85,75,115,100,115,2,1,1
18,Rock,Dark,100,164,150,95,120,71,2,0,Bug,Flying,60,70,50,100,50,65,3,0,0
19,Rock,None,85,135,130,60,80,25,5,0,Electric,Flying,50,65,107,105,107,86,4,0,0
20,Dark,Flying,110,65,105,55,95,80,5,0,Poison,None,40,65,95,60,45,35,1,0,0
21,Water,Rock,100,90,130,45,65,55,3,0,Bug,Electric,50,47,50,57,50,65,5,0,1
22,Bug,Flying,60,70,50,100,50,65,3,0,Water,None,76,48,48,57,62,34,4,0,0
23,Ice,Flying,45,55,45,65,45,75,2,0,Water,None,20,10,55,15,20,80,1,0,1
24,Fight,None,85,105,85,40,50,40,5,0,Normal,None,75,100,66,60,66,115,4,0,1
25,Rock,Ice,77,59,50,67,63,46,6,0,Bug,Steel,70,130,100,55,80,65,2,0,1
26,Normal,None,45,60,45,25,45,55,5,0,Dragon,Flying,105,150,90,150,90,95,3,1,1
27,Water,Dragon,75,95,95,95,95,85,2,0,Water,None,90,75,75,90,100,70,2,0,0
28,Water,Ghost,55,40,50,65,85,40,5,0,Ice,Water,110,80,90,95,90,65,3,0,1
29,Bug,None,37,25,41,25,41,25,4,0,Grass,None,123,100,62,97,81,68,6,0,1
30,Water,Rock,100,90,130,45,65,55,3,0,Ghost,None,58,50,145,95,105,30,5,0,0
31,Water,Ground,100,110,90,85,90,60,3,0,Electric,None,80,120,79,95,79,70,4,0,1
32,Psychic,None,65,65,60,130,95,110,2,0,Fire,Fight,60,85,60,85,60,55,3,0,0
33,Poison,Flying,85,90,80,70,80,130,2,0,Ground,Rock,80,85,95,30,30,25,1,0,1
34,Normal,None,45,55,39,35,39,42,5,0,Ground,Fire,100,180,160,150,90,90,3,1,1
35,Ground,Rock,80,85,95,30,30,25,1,0,Bug,Flying,70,94,50,94,50,66,4,0,1
36,Fairy,None,44,38,39,61,79,42,6,0,Steel,Ground,75,125,230,55,95,30,2,0,1
37,Psychic,Fairy,38,35,35,65,55,50,3,0,Psychic,Flying,40,50,45,70,45,70,2,0,1
38,Fire,Flying,106,130,90,110,154,90,2,1,Steel,Psychic,40,55,80,35,60,30,3,0,0
39,Fire,Flying,78,81,71,74,69,126,6,0,Ghost,Dragon,150,120,100,120,100,90,4,1,0
40,Bug,Poison,40,35,30,20,20,50,1,0,Poison,None,65,90,120,85,70,60,1,0,1
41,Ghost,Grass,75,95,122,58,75,69,6,0,Poison,Ground,90,92,87,75,85,76,1,0,1
42,Normal,None,75,95,60,65,60,115,5,0,Bug,Fire,85,60,65,135,105,100,5,0,0
43,Psychic,None,55,55,55,85,55,30,5,0,Steel,None,60,100,115,70,85,90,5,0,1
44,Grass,Poison,114,85,70,85,80,30,5,0,Grass,None,75,89,85,55,65,36,4,0,1
45,Dark,Flying,126,131,95,131,98,99,6,1,Dark,Ice,55,95,55,35,75,115,2,0,1
46,Bug,Flying,65,155,120,65,90,105,1,0,Psychic,None,55,55,55,85,55,30,5,0,0
47,Normal,Flying,40,60,30,31,31,70,1,0,Dark,Ice,70,120,65,45,85,125,4,0,1
48,Ghost,None,64,165,75,93,83,75,3,0,Bug,Fire,85,60,65,135,105,100,5,0,1
49,Rock,Steel,60,55,145,75,150,40,4,0,Psychic,Fight,68,125,65,65,115,80,4,0,1
50,Grass,Ice,90,92,75,92,85,60,4,0,Grass,None,60,40,60,40,60,35,3,0,0
51,Poison,None,70,43,53,43,53,40,3,0,Ice,Ghost,70,80,70,80,70,110,4,0,1
52,Rock,None,80,100,200,50,100,50,3,1,Water,None,45,67,60,35,50,63,1,0,1
53,Bug,Rock,20,10,230,10,230,5,2,0,Grass,None,40,40,50,30,30,30,3,0,1
54,Psychic,None,65,50,70,95,80,65,3,0,Normal,Fight,100,128,90,77,77,128,5,0,1
55,Dragon,Flying,105,180,100,180,100,115,3,1,Normal,None,65,80,65,35,65,60,5,0,0
56,Dark,Dragon,72,85,70,65,70,58,5,0,Steel,Ground,75,85,200,55,65,30,2,0,0
57,Rock,Fairy,50,100,150,100,150,50,6,1,Dragon,Flying,105,180,100,180,100,115,3,1,1
58,Dark,None,64,88,50,88,50,106,5,0,Ghost,None,20,40,90,30,90,25,3,0,0
59,Dragon,Flying,75,70,90,70,105,80,3,0,Dragon,Electric,100,150,120,120,100,90,5,1,1
60,Ground,None,50,50,95,40,50,35,1,0,Normal,Fairy,90,30,15,40,20,15,2,0,0
61,Fight,None,50,105,79,35,110,76,1,0,Fight,None,45,85,50,55,50,65,5,0,0
62,Grass,None,40,45,35,65,55,70,3,0,Dark,Fire,75,90,90,140,90,115,2,0,1
63,Fire,None,78,84,78,109,85,100,2,0,Dragon,Ground,58,70,45,40,45,42,4,0,0
64,Fire,None,45,60,40,70,50,45,3,0,Normal,Flying,80,115,80,65,55,93,5,0,1
65,Grass,Poison,50,60,45,100,80,65,3,0,Psychic,Flying,40,50,45,70,45,70,2,0,1
66,Normal,None,38,36,38,32,36,57,6,0,Water,None,30,65,100,45,25,40,1,0,0
